failure_id,utility_proxy,delta
F0001,0.9,-0.3333333333333333
F0002,0.6757732123136521,-0.1111111111111111
F0003,0.4993052124977112,-0.33333333333333337
F0004,0.5660977005958557,0.0
F0005,0.525419420003891,-0.22222222222222227
F0006,0.5347639560699463,0.0
F0007,0.6190749526023864,0.0
F0008,0.5418743968009949,-0.1111111111111111
F0009,0.482131564617157,0.4444444444444444
F0010,0.5605563759803772,-0.33333333333333337
F0011,0.5183974146842957,-0.1111111111111111
F0012,0.524830573797226,-0.11111111111111116
F0013,0.5317290842533111,0.11111111111111116
F0014,0.46218123435974123,0.0
F0015,0.41466068625450136,0.0
F0016,0.39012433886528014,-0.1111111111111111
F0017,0.5662936925888061,-0.3333333333333333
F0018,0.5849675953388214,-0.22222222222222227
F0019,0.5107150316238404,-0.1111111111111111
F0020,0.5711553931236267,0.1111111111111111
